area,numquart,bairro,preco
343,0,2,75
309,0,3,80
875,0,4,160
343,0,2,65
250,2,5,130
364,2,6,270
54,2,7,145
2967,0,6,299
152,0,6,105
338,0,1,139
390,3,8,649
330,0,3,75
109,2,9,549
280,2,8,399
108,2,10,119
250,3,8,289
77,2,10,199
320,0,6,80
64,2,10,119
5338,0,11,3000
189,3,8,460
50,2,12,150
54,2,10,250
340,2,6,500
264,3,1,210
133,2,9,380
343,2,2,169
840,4,9,725
364,3,8,280
127,3,13,270
476,3,14,320
300,3,6,250
57,1,13,170
87,2,10,220
390,4,3,168
300,2,6,235
390,2,4,250
390,6,8,660
390,3,8,380
390,2,6,260
255,3,11,340
400,2,10,349
440,0,9,340
2000,0,4,320
900,0,4,160
300,0,7,110
390,0,4,100
1900,0,3,100
300,0,7,99
390,0,15,55
50,2,16,125
50,1,9,250
200,3,9,990
60,1,9,225
109,2,9,520
50,1,9,235
63,2,14,289
163,3,9,788
185,3,9,1150
126,3,9,550
127,3,9,495
297,3,9,795
117,3,9,465
86,2,9,290
119,3,9,519
105,2,9,236
113,2,14,280
237,2,13,220
156,2,13,180
338,5,13,260
390,2,8,250
432,4,10,230
239,2,10,230
325,3,6,200
250,2,6,215
455,3,6,250
209,2,6,220
90,2,6,260
605,0,7,180
1000,0,4,150
1600,0,4,320
390,0,5,67
250,0,6,90
920,0,9,1600
351,0,6,110
338,0,13,298
810,0,9,1200
480,0,12,310
370,0,6,140
480,0,3,150
240,2,6,650
680,3,9,850
658,4,9,630
344,3,9,880
421,3,9,650
840,4,9,800
390,3,9,880
432,3,14,580
1261,3,14,1300
463,3,14,680
267,3,13,590
431,3,13,650
800,3,13,1280
462,3,13,580
476,3,12,590
390,4,8,675
164,3,10,500
194,3,6,730
338,3,7,580
240,3,1,596
516,4,9,900
604,5,9,700
1500,4,9,1500